50cent , 0.18
ASAPFerg , 0.05
ASAPRocky , 0.09
AdamSandler , 0.27
Adele , 0.92
AislingBea , 0.04
Akon , 0.09
AlecBaldwin , 0.12
AlessiaCara , 0.07
AliceCooper , 0.11
AliciaKeys , 0.18
AlisonBrie , 0.34
AmyAdams , 0.13
AngelinaJolie , 1.68
Anitta , 0.09
AnnaKendrick , 0.41
AnneHathaway , 0.34
ArethaFranklin , -0.01
AriShaffir , 0.05
ArianaGrande , 0.18
ArjBarker , 0.05
ArnoldSchwarzenegger , 0.34
AshtonKutcher , 0.22
AstridS , 0.09
Avicii , 0.13
AvrilLavigne , 0.22
BabaAli , 0.01
Basshunter , 0.05
BebeRexha , 0.11
BeckBennett , 0.02
BenBailey , 0.02
BethBehrs , 0.22
Beyoncé , 0.41
BigSean , 0.09
BillBailey , 0.04
BillBellamy , 0.06
BillBurr , 0.09
BillCosby , 0.09
BillGates , 0.75
BillMaher , 0.11
BillMurray , 0.61
BillyJoel , 0.09
Björk , 0.13
BlakeShelton , 0.13
BoBurnham , 0.02
BobDylan , 0.13
BradPitt , 0.61
BradleyCooper , 0.13
BritneySpears , 0.22
BruceSpringsteen , 0.11
BrunoMars , 0.18
CalvinHarris , 0.11
CameronDiaz , 0.18
CamilaCabello , 0.18
CarlBarron , 0.01
CatStevens , 0.06
CateBlanchett , 0.22
CatherineZeta-Jones , 0.13
ChanceTheRapper , 0.09
CharliXCX , 0.09
CharlizeTheron , 0.22
ChrisHardwick  , 0.05
ChrisStapleton , 0.05
ChristianBale , 0.34
ChristinaAguilera , 0.18
ChristinaPerri , 0.11
ChristinaRicci , 0.18
ChristopherWalken , 0.5
ClintEastwood , 0.18
ColbieCaillat , 0.08
ColinQuinn , 0.02
ColleenBallinger , 0.06
CélineDion , 0.18
DanHarmon  , 0.09
DannyBhoy , 0.05
DaveChappelle , 0.18
DavidGuetta , 0.13
DemetriMartin , 0.04
DemiLovato , 0.13
Desiigner , 0.09
DonaldTrump , 1.68
DougBenson , 0.06
DoveCameron , 0.13
Dr_Dre , 0.22
Drake , 0.41
DrewBarrymore , 0.13
DuaLipa , 0.09
DylanMoran , 0.06
